source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_9_24,9,24,-2.54273,-0.10088000000000008,3.1844882316012968,2.7442596392721588,3.1534221122164312,3.2610300932102447
pmfs_20_16,20,16,0.7572700000000001,-2.5008799999999995,3.1949175422789993,2.9464866937970164,3.6351044792708622,2.8035245365939603
pmfs_4_14,4,14,-4.04273,-3.100879999999999,3.2060968160867045,2.4855502960294453,3.5615602214993944,2.928937799613927
pmfs_9_37,9,37,-2.54273,3.7991200000000003,3.2225130180640327,2.0470653269514454,3.6037223993590066,2.9007891114025499
pmfs_9_14,9,14,-2.54273,-3.100879999999999,3.2619230669529333,2.1594010614899131,3.7286714220951018,2.8476133301007609
pmfs_19_15,19,15,0.4572700000000003,-2.8008799999999994,3.2763053331666026,2.9145235653651476,3.7090929029245299,2.8896436578783251
pmfs_25_14,25,14,2.25727,-3.100879999999999,3.2922689265324152,3.554846289618395,3.4587270429961667,3.1755246935583226
pmfs_3_20,3,20,-4.3427299999999995,-1.3008799999999994,3.3149054657239234,2.0375136226358825,3.1410837830509526,3.4992324680403213
pmfs_12_26,12,26,-1.6427300000000002,0.49912000000000045,3.3179070309576604,2.8705380996455241,3.3581430815649114,3.317567628660822
pmfs_6_27,6,27,-3.44273,0.7991200000000003,3.3507300151792232,1.6077962562066228,3.687489982612624,3.0400521460987115
pmfs_3_15,3,15,-4.3427299999999995,-2.8008799999999994,3.3674025757190735,2.6660535527915616,3.6592429637793371,3.127877958569909
pmfs_9_28,9,28,-2.54273,1.099120000000001,3.3863325975881464,2.7613611725008882,3.51600859994933,3.2831748215859973
pmfs_18_16,18,16,0.15726999999999958,-2.5008799999999995,3.4090612682444044,2.9051414438877137,3.6403828575444939,3.1951773450779721
pmfs_18_15,18,15,0.15726999999999958,-2.8008799999999994,3.4221933027587514,2.9506983560926332,3.6812976767820298,3.1945409640393003
pmfs_24_11,24,11,1.9572699999999994,-4.0008799999999995,3.4328915181521413,3.2832640218952838,3.6094225518207663,3.3336566056193968
pmfs_16_14,16,14,-0.44273000000000007,-3.100879999999999,3.4508078940394591,3.3695815762914263,3.4225103973409188,3.5210267089758966
pmfs_12_15,12,15,-1.6427300000000002,-2.8008799999999994,3.4964600566274942,2.7030350938026944,3.7437420078817216,3.2757154712326084
pmfs_22_33,22,33,1.3572699999999998,2.599120000000001,3.5048048119565074,2.9991964185246882,4.507409267610802,2.7016861547226005
pmfs_8_38,8,38,-2.84273,4.099120000000001,3.5255879234669756,2.3779194958834737,4.1190523575061952,2.9958177806543986
pmfs_2_18,2,18,-4.64273,-1.90088,3.5412439578054409,2.7197136535295341,3.7459655577490936,3.3934230239162555
