source_index,source_id,x_m,y_m,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll,full_top1,bp_top1
79,pmfs_12_14,-1.6427300000000002,-3.100879999999999,1.852299266145796,1.3313014434276238,1,1,1.1307359479076196,2.9830352140534155,2.4620373913352434,0.625,0.625
80,pmfs_12_15,-1.6427300000000002,-2.80088,2.498904806311403,2.0251674696097774,1,1,2.3412281673281092,4.840132973639513,4.366395636937887,0.125,0.3125
81,pmfs_12_16,-1.6427300000000002,-2.5008799999999995,2.386418156192618,1.735471139580314,1,1,3.039386427583161,5.425804583775779,4.774857567163474,0.0,0.0625
82,pmfs_12_17,-1.6427300000000002,-2.20088,2.299344829191966,1.6852092967477608,1,1,3.9886666210493456,6.288011450241311,5.6738759177971065,0.0,0.0
83,pmfs_12_18,-1.6427300000000002,-1.90088,0.7296590757269132,0.5703120731279261,1,1,0.4752614975364525,1.2049205732633657,1.0455735706643787,0.8125,0.75
84,pmfs_13_12,-1.34273,-3.70088,1.0562184138430684,0.12636541899990805,1,1,3.0243376407512663,4.080556054594334,3.1507030597511743,0.125,0.0
85,pmfs_13_13,-1.34273,-3.4008799999999995,0.7567790078008894,0.2715297752574417,1,1,3.932647992354555,4.689427000155444,4.204177767611997,0.0,0.0625
86,pmfs_13_14,-1.34273,-3.100879999999999,1.3653130207016946,0.6139920051118908,1,1,2.0903049154655426,3.455617936167238,2.7042969205774336,0.1875,0.125
87,pmfs_13_15,-1.34273,-2.80088,1.5577507914649,0.5432873526682179,1,1,1.6053166894963509,3.163067480961251,2.1486040421645693,0.4375,0.125
88,pmfs_13_16,-1.34273,-2.5008799999999995,0.4972059122067676,-0.0969375449886869,1,0,2.536935077729244,3.0341409899360112,2.4399975327405574,0.1875,0.3125
89,pmfs_13_17,-1.34273,-2.20088,2.1567408490145907,1.1873306625030007,1,1,2.829000509187548,4.985741358202139,4.016331171690549,0.0625,0.0625
90,pmfs_13_18,-1.34273,-1.90088,0.7580631072755483,0.2175457153080329,1,1,2.032222132389763,2.790285239665312,2.2497678476977967,0.1875,0.375
91,pmfs_14_12,-1.0427299999999995,-3.70088,-0.290669448192612,-0.9307435098484022,0,0,4.716638158850301,4.425968710657689,3.7858946490018988,0.125,0.125
92,pmfs_14_13,-1.0427299999999995,-3.4008799999999995,1.104605140631666,0.2920351721066489,1,1,1.7441979949486826,2.848803135580349,2.0362331670553315,0.25,0.0625
93,pmfs_14_14,-1.0427299999999995,-3.100879999999999,0.49309178836640843,-0.08858911777119062,1,0,1.7051411032836257,2.1982328916500338,1.616551985512435,0.25,0.125
94,pmfs_14_15,-1.0427299999999995,-2.80088,1.523300095062071,0.5523391658995405,1,1,2.381739348705637,3.9050394437677074,2.934078514605177,0.25,0.0625
95,pmfs_14_16,-1.0427299999999995,-2.5008799999999995,0.7586255305461125,0.0009933886288675227,1,1,0.005949152312576849,0.7645746828586893,0.006942540941444372,1.0,0.75
96,pmfs_14_17,-1.0427299999999995,-2.20088,0.417712595586049,-0.05858880089027721,1,0,1.1610053656349193,1.578717961220968,1.102416564744642,0.8125,0.8125
97,pmfs_14_18,-1.0427299999999995,-1.90088,0.13523373451604506,-0.3905153050324396,1,0,1.455278813042409,1.590512547558454,1.0647635080099693,0.5,0.5625
98,pmfs_15_12,-0.7427299999999999,-3.70088,0.36807847192111615,0.11694091643892873,1,1,0.9283780422786578,1.296456514199774,1.0453189587175866,0.5625,0.5625
99,pmfs_15_13,-0.7427299999999999,-3.4008799999999995,0.487840720593514,1.5375024821282808,1,1,2.5758861471574077,3.0637268677509217,4.113388629285689,0.0625,0.125
100,pmfs_15_14,-0.7427299999999999,-3.100879999999999,0.6094189018405952,0.3727815158843095,1,1,1.0086952000890637,1.6181141019296588,1.3814767159733734,0.875,0.875
