model,source_index,source_id,realization_index,fold,truth_nll,truth_rank,top1,top3,top5,brier,posterior_mass_0p5m,posterior_mass_1p0m,posterior_expected_distance_m,map_distance_error_m,map_source_id,nearest_neighbor_confusion,truth_vs_nearest_logodds
DIAG_COV,28,pmfs_5_12,8,0,139.06803810640133,141,0,0,0,1.7171465055298,7.995398919143698e-07,0.8821585218648131,1.4224694257090595,0.948683298050514,pmfs_4_15,0,-70.89401656618728
DIAG_COV,28,pmfs_5_12,9,1,1.3585447658292278,1,1,1,1,0.6332262991761317,0.40778409618586087,0.6015266784759596,0.7627364950489407,0.0,pmfs_5_12,0,3.1513249830440753
DIAG_COV,28,pmfs_5_12,10,2,2.8415016579606363,5,0,0,1,1.1593154233955898,0.06272499823674924,0.3558446706568551,1.0102023132679652,1.0816653826391973,pmfs_3_15,0,17.248667345335903
DIAG_COV,28,pmfs_5_12,11,3,1.1091089571817028,1,1,1,1,0.5040412222317354,0.3511365643347149,0.5529446245941416,0.8358859843660975,0.0,pmfs_5_12,0,11.497064985096621
DIAG_COV,28,pmfs_5_12,12,0,0.007058941463013113,1,1,1,1,5.7570654163341395e-05,0.9930946082145918,0.995877056278703,0.007925819272571608,0.0,pmfs_5_12,0,13.716615496390665
DIAG_COV,28,pmfs_5_12,13,1,3.1198277776739864,7,0,0,0,1.0791193532394379,0.09959452145385789,0.5985979886935815,1.004075995086135,0.6708203932499377,pmfs_4_14,0,10.295335068883501
DIAG_COV,28,pmfs_5_12,14,2,1.0558423165392004,1,1,1,1,0.5664582133600022,0.36827328048923896,0.41297835737176075,0.8957650998638929,0.0,pmfs_5_12,0,8.953360308874249
DIAG_COV,28,pmfs_5_12,15,3,2.67743296501643,4,0,0,1,1.1473618636219016,0.07401110495858407,0.11443716192932916,1.516933286303143,1.5297058540778357,pmfs_10_13,0,4.855485262543375
DIAG_COV,29,pmfs_5_13,0,0,2.678882038485831,4,0,0,1,1.3071672478588772,0.9378464094876107,0.9968246266852446,0.3972976389783411,0.42426406871192857,pmfs_4_14,0,10.28478217567987
DIAG_COV,29,pmfs_5_13,1,1,3.2821988157831736,4,0,0,1,1.556239542785654,0.9122979356949319,0.9701570603789029,0.4442750190261421,0.4242640687119289,pmfs_6_12,0,9.429813637652645
DIAG_COV,29,pmfs_5_13,2,2,338.3198657715736,148,0,0,0,1.6037103493978977,0.7709434221258508,0.8181614734168039,0.5228763539001265,0.2999999999999998,pmfs_4_13,1,-338.05972545601367
DIAG_COV,29,pmfs_5_13,3,3,7.521276008709071,8,0,0,0,1.8008497426308403,0.9703042092482266,0.9999810715953019,0.31823567039179806,0.2999999999999998,pmfs_6_13,0,10.635384388504738
DIAG_COV,29,pmfs_5_13,4,0,3.6420518975520366,5,0,0,1,1.3573373010308099,0.8409293696497432,0.999209832894499,0.36858235859162025,0.30000000000000027,pmfs_5_14,0,11.107854934421132
DIAG_COV,29,pmfs_5_13,5,1,4.322443571649192,7,0,0,0,1.4497247242917353,0.7946346169123992,0.9342260417229896,0.5424459863267554,0.42426406871192857,pmfs_4_14,0,0.5736646032657138
DIAG_COV,29,pmfs_5_13,6,2,0.02347401885588063,1,1,1,1,0.0008134398996035852,0.9980032304647038,0.9998013672091648,0.010489446582853144,0.0,pmfs_5_13,0,23.204267520040368
DIAG_COV,29,pmfs_5_13,7,3,2.668669205758265,3,0,1,1,1.206969683768121,0.926975327657485,0.9943214062218544,0.407845858427542,0.4242640687119289,pmfs_6_12,0,10.745790820319433
DIAG_COV,29,pmfs_5_13,8,0,3.7112919321609947,5,0,0,1,1.4829502477064396,0.8640481978878838,0.9994382919508267,0.3518266196343831,0.30000000000000027,pmfs_5_14,0,11.470662823533784
DIAG_COV,29,pmfs_5_13,9,1,3.8828597797513567,5,0,0,1,1.723762242864092,0.9397588391175424,0.9775585049433542,0.44002803163352394,0.4242640687119289,pmfs_6_12,0,9.17309822172041
DIAG_COV,29,pmfs_5_13,10,2,2.8805167732199966,2,0,1,1,1.7672784063151203,0.9974107064354116,0.9999919145925292,0.2845827276548734,0.2999999999999998,pmfs_6_13,0,37.52634353820469
DIAG_COV,29,pmfs_5_13,11,3,3.8892928010322514,5,0,0,1,1.3618184729726714,0.9404899829987865,0.9992721759991093,0.39907392179106554,0.4242640687119289,pmfs_6_12,0,10.810414784600814
DIAG_COV,29,pmfs_5_13,12,0,3.642102882381927,7,0,0,0,1.181573016829172,0.7971205864230908,0.998910237820929,0.40050694547593474,0.30000000000000027,pmfs_5_14,0,10.776060122159398
DIAG_COV,29,pmfs_5_13,13,1,3.4126102780023295,4,0,0,1,1.4518779602464282,0.8312418798178496,0.9941290175196783,0.4381428120219274,0.4242640687119289,pmfs_6_12,0,10.680845067323093
DIAG_COV,29,pmfs_5_13,14,2,1.3844494796199402,2,0,1,1,1.109391659165901,0.9972249799355974,0.999989650686411,0.22652926522684302,0.2999999999999998,pmfs_6_13,0,37.910091218638634
DIAG_COV,29,pmfs_5_13,15,3,2.155302846549075,2,0,1,1,1.3409971158470917,0.9462574107629715,0.9752972521547731,0.4053136138167744,0.42426406871192857,pmfs_4_14,0,9.469023705698168
DIAG_COV,30,pmfs_5_14,0,0,2.8886813607795094,2,0,1,1,1.672404248059821,0.9900014495123406,0.9999950170740999,0.3983021075226482,0.42426406871192857,pmfs_6_13,0,0.0920802288349023
DIAG_COV,30,pmfs_5_14,1,1,3.2372367234256796,5,0,0,1,1.2343394059980006,0.448131860780848,0.9838463894557297,0.5064168362268912,0.6708203932499377,pmfs_6_12,0,-1.5991270030428986
DIAG_COV,30,pmfs_5_14,2,2,7.099275526881176,4,0,0,1,1.9624538938911131,0.9979903203654247,0.9999920008395421,0.42255142863126094,0.42426406871192857,pmfs_6_13,0,-2.8421517251151442
DIAG_COV,30,pmfs_5_14,3,3,4.408237700758477,5,0,0,1,1.5161985213230924,0.8581322950101278,0.9996236535056138,0.4383411221999606,0.42426406871192857,pmfs_6_13,0,-2.187896509745155
DIAG_COV,30,pmfs_5_14,4,0,23.425408157852303,62,0,0,0,1.9855390281383585,0.000728243865231061,0.9989748469381295,0.6010048728875513,0.600000000000001,pmfs_5_12,0,-0.7276758829308392
DIAG_COV,30,pmfs_5_14,5,1,3.3885609624820354,4,0,0,1,1.1810390473374064,0.6561837592042064,0.9898244590985822,0.45764006863965584,0.6708203932499377,pmfs_6_12,0,-2.1069748707791156
DIAG_COV,30,pmfs_5_14,6,2,4.061466586777472,3,0,1,1,1.5375405811552005,0.9852502720257139,0.9998833817807785,0.3905936342280929,0.42426406871192857,pmfs_6_13,0,-2.622663236675578
DIAG_COV,30,pmfs_5_14,7,3,4.85007779400731,7,0,0,0,1.5634079745404466,0.8658630303848854,0.9815661973790555,0.3625262911043048,0.2999999999999998,pmfs_4_14,0,-0.3593587204768305
DIAG_COV,30,pmfs_5_14,8,0,10.27263253938434,29,0,0,0,1.491746571690622,0.6643227288696397,0.9798134516919214,0.42463096860567595,0.2999999999999998,pmfs_4_14,0,0.2235608618963738
DIAG_COV,30,pmfs_5_14,9,1,5.396617961277849,12,0,0,0,1.3100629117097267,0.37923894844344636,0.9768026023660388,0.5441683757106728,0.6708203932499377,pmfs_6_12,0,3.160662931721159
DIAG_COV,30,pmfs_5_14,10,2,7.856223642400623,4,0,0,1,1.9807060325359398,0.9988100854237841,0.9999959548531647,0.42345689912406365,0.42426406871192857,pmfs_6_13,0,-2.8847997424786342
DIAG_COV,30,pmfs_5_14,11,3,3.8144102768706833,3,0,1,1,1.555849740159093,0.9837167518975408,0.9998427544946378,0.3935286406074488,0.42426406871192857,pmfs_6_13,0,-2.250377450148971
DIAG_COV,30,pmfs_5_14,12,0,9.422509125883064,19,0,0,0,1.3208385998355328,0.6108994265803533,0.998371615694517,0.5419566093514572,0.8485281374238578,pmfs_7_12,0,-2.658183651266711
DIAG_COV,30,pmfs_5_14,13,1,2.862761385974487,4,0,0,1,1.3498787020184422,0.9511598807318946,0.9994737581080191,0.3296888854192894,0.2999999999999998,pmfs_6_14,0,-0.27434466721962636
DIAG_COV,30,pmfs_5_14,14,2,7.80868073003205,6,0,0,0,1.6748452501125533,0.9965361835174342,0.9999895780995319,0.32499410194559963,0.30000000000000027,pmfs_5_13,0,-2.179387803245305
DIAG_COV,30,pmfs_5_14,15,3,6.160982884021765,4,0,0,1,1.8997307314147944,0.9864090967591984,0.9999915746357868,0.42273411664759564,0.42426406871192857,pmfs_6_13,0,-2.7477400755178216
DIAG_COV,31,pmfs_5_15,0,0,3.344604415365297,3,0,1,1,1.5126979242409209,0.24705255326015396,0.26502038214786955,0.8965975528053548,1.081665382639197,pmfs_7_12,0,2.3071912147268563
DIAG_COV,31,pmfs_5_15,1,1,4.1549707889178435,5,0,0,1,1.4857143150241832,0.18150645638266732,0.9196061473739885,0.8629439587774702,0.948683298050514,pmfs_6_12,0,1.226975677506747
DIAG_COV,31,pmfs_5_15,2,2,0.6405553042776795,1,1,1,1,0.3718264971210181,0.590179689322491,0.9824300051422887,0.3074013875749854,0.0,pmfs_5_15,0,2.856060584179062
DIAG_COV,31,pmfs_5_15,3,3,3.402625845451251,3,0,1,1,1.4777516545041798,0.06597955589903294,0.9986325180259868,0.705071093049336,0.6708203932499366,pmfs_6_13,0,2.4914606618021757
DIAG_COV,31,pmfs_5_15,4,0,2.4434782389481366,3,0,1,1,1.3565577385431615,0.2797445300704182,0.9877152738362265,0.5492873527517097,0.6708203932499366,pmfs_6_13,0,-0.7665120652175688
DIAG_COV,31,pmfs_5_15,5,1,2.2952579870079823,3,0,1,1,1.2370969603143267,0.8929827007407755,0.9418817164235315,0.4129611235906451,0.42426406871192796,pmfs_6_14,0,-0.0560528407072205
DIAG_COV,31,pmfs_5_15,6,2,7.829798934289105,5,0,0,1,1.986478274385174,0.0022848160870769974,0.9999327675308961,0.6001607383442741,0.5999999999999996,pmfs_5_13,0,1.734763130002051
DIAG_COV,31,pmfs_5_15,7,3,1.0968768315611293,2,0,1,1,0.672537909891364,0.448852068820612,0.536418221137005,0.6002021651394611,1.081665382639197,pmfs_7_12,0,1.5707874904213774
DIAG_COV,31,pmfs_5_15,8,0,9.460375361332375,26,0,0,0,1.4221328083387224,0.30399036679625013,0.9204820156302904,0.7793854374538031,0.9000000000000004,pmfs_5_12,0,1.2343288585470304
DIAG_COV,31,pmfs_5_15,9,1,4.235122011570187,5,0,0,1,1.6893197480965014,0.08482451906167167,0.9493437834747218,0.9094918741630681,0.948683298050514,pmfs_6_12,0,1.5024652975918436
DIAG_COV,31,pmfs_5_15,10,2,7.466504205139689,5,0,0,1,1.9750017913952531,0.002214263370198105,0.9999546930156624,0.6005113493500369,0.5999999999999996,pmfs_5_13,0,1.9267513639014169
DIAG_COV,31,pmfs_5_15,11,3,3.0457991736699483,4,0,0,1,1.2371551259876736,0.2240606175597981,0.9944516440687889,0.7273512764857909,0.948683298050514,pmfs_6_12,0,2.085858844679205
DIAG_COV,31,pmfs_5_15,12,0,2.7933410746037843,3,0,1,1,1.5537737201989117,0.17809434416449826,0.991586758478687,0.590530848733021,0.6708203932499366,pmfs_6_13,0,-0.6279720521861805
DIAG_COV,31,pmfs_5_15,13,1,3.5477629032829867,3,0,1,1,1.809686477874973,0.0679004844383323,0.9981497752979129,0.6418600593124021,0.6708203932499366,pmfs_6_13,0,1.8295353674454908
DIAG_COV,31,pmfs_5_15,14,2,0.22980552235626295,1,1,1,1,0.05323091178157491,0.9313131980448397,0.9426563661158098,0.11963433455485091,0.0,pmfs_5_15,0,2.5070385564183653
