environment_index,source_index,target_index,candidate_index,candidate_id,occurrence_ll,conditional_mark_ll,upper_mark_ll,marked_ll,upper_ll,edf_squared_discrepancy,scaled_value_SSE,B2_positive_scale
0,0,3,4,pmfs_27_1,-596.50430370785944,-114.81017648778375,-117.80791702775561,-711.31448019564323,-714.31222073561503,11.803544444444444,9036.3648992306153,0.0015370189554489259
0,0,3,5,pmfs_27_2,-592.33590536674774,-114.78623855651014,-117.80378194910892,-707.12214392325791,-710.13968731585669,11.803544444444444,9036.1621810074284,0.0018834546132988346
0,1,0,0,pmfs_13_18,-289.52147690813058,-84.360658365633384,-45.26271040292125,-373.88213527376399,-334.78418731105182,29.99977777777778,62.334370010144113,0.026906466131629652
0,1,0,1,pmfs_13_19,-272.98653301036734,-85.334604547914395,19.763972333411363,-358.32113755828175,-253.22256067695596,29.690000000000001,60.101617404260935,0.034704618670303528
0,1,0,2,pmfs_27_36,-496.85872249437966,-92.55592650547851,-92.55592650547851,-589.41464899985817,-589.41464899985817,38.549777777777784,84.822834400188668,2.7027355779640307e-05
0,1,0,3,pmfs_26_36,-485.34465253786215,-92.55592650547851,-92.55592650547851,-577.90057904334071,-577.90057904334071,38.07022222222222,84.822666929095874,3.7584793768262536e-05
0,1,0,4,pmfs_27_1,-528.08530077413138,-90.064102372662745,-91.35057748619198,-618.14940314679416,-619.43587826032331,11.495777777777779,80.942463253698847,0.0031636879310261109
0,1,0,5,pmfs_27_2,-523.52789332879513,-90.047849435946944,-91.193300580932856,-613.57574276474202,-614.72119390972796,11.495777777777779,80.101889545917558,0.0038692807512339003
0,1,1,0,pmfs_13_18,-309.55259207218074,-92.545855793567839,-73.656011645225348,-402.0984478657486,-383.20860371740611,29.656155555555557,122.99969097584155,0.01131629911734292
0,1,1,1,pmfs_13_19,-290.75785943361552,-92.841804309159855,-43.914945395947989,-383.59966374277536,-334.67280482956352,29.097933333333341,121.69560142919886,0.016041721249856339
0,1,1,2,pmfs_27_36,-512.83633675021952,-95.677787322440636,-95.652465833735576,-608.51412407266014,-608.48880258395513,37.84748888888889,126.97708813423716,3.0646236567724487e-05
0,1,1,3,pmfs_26_36,-500.62574694015552,-95.677787322440636,-95.677787322440636,-596.30353426259614,-596.30353426259614,37.375711111111116,126.97686699856756,4.2769253975012689e-05
0,1,1,4,pmfs_27_1,-530.2838734762986,-94.688950952984243,-88.525284137932644,-624.97282442928281,-618.80915761423125,9.7714888888888893,111.92848225208894,0.0062299954152446706
0,1,1,5,pmfs_27_2,-524.76348552786249,-94.677172685260629,-88.047259242582385,-619.44065821312313,-612.8107447704449,9.7714888888888893,109.16089556888764,0.0075163866534761932
0,1,2,0,pmfs_13_18,-304.29068356423932,-84.547970196697136,-39.758711141939671,-388.83865376093644,-344.04939470617899,31.005922222222228,78.759080776503481,0.01133547439650073
0,1,2,1,pmfs_13_19,-285.11772776151241,-84.825927353810101,-16.658110564428171,-369.94365511532249,-301.77583832594058,30.576144444444445,77.534198114253613,0.015941621799977809
0,1,2,2,pmfs_27_36,-509.66820046444809,-87.16467967065131,-87.16467967065131,-596.83288013509946,-596.83288013509946,38.481033333333336,82.750108661882052,2.6881501285296935e-05
0,1,2,3,pmfs_26_36,-497.31834668813809,-87.16467967065131,-87.16467967065131,-584.4830263587894,-584.4830263587894,38.057922222222224,82.749940462325952,3.7457445190300291e-05
0,1,2,4,pmfs_27_1,-521.40245295945556,-84.513827846905258,-83.327479768252161,-605.91628080636087,-604.72993272770771,10.681033333333335,74.492918613072646,0.0046148671845433484
0,1,2,5,pmfs_27_2,-516.61569197818415,-84.49089069440852,-83.159779526844304,-601.10658267259271,-599.77547150502846,10.681033333333335,72.998047724246305,0.0055609991106937958
0,1,3,0,pmfs_13_18,-301.61132413080566,-89.032559340643104,-51.197280308035076,-390.64388347144876,-352.80860443884075,29.059477777777779,36.232420970552539,0.040489003125710146
0,1,3,1,pmfs_13_19,-282.4355057871561,-90.401768423891426,-7.4507936289216881,-372.83727421104754,-289.8862994160778,28.64436666666667,34.853597991769533,0.050479413301252767
0,1,3,2,pmfs_27_36,-499.95906914716642,-101.59532984949557,-101.59532984949557,-601.55439899666203,-601.55439899666203,38.003922222222229,87.156910876828164,2.3289932704633047e-05
0,1,3,3,pmfs_26_36,-487.63624234543795,-101.59532984949557,-101.59532984949557,-589.23157219493351,-589.23157219493351,37.479033333333334,87.156780925825075,3.2579633202147543e-05
0,1,3,4,pmfs_27_1,-543.99657833679873,-100.129352937932,-101.27065156810687,-644.12593127473076,-645.26722990490566,11.49347777777778,85.15819161217189,0.0022706197221162606
0,1,3,5,pmfs_27_2,-539.31600058441313,-100.10700784715277,-101.143812264753,-639.4230084315659,-640.45981284916616,11.49347777777778,84.726545887450953,0.0027762655266737948
0,2,0,0,pmfs_13_18,-437.99207624971444,-61.283415629939924,-61.283415629939924,-499.2754918796544,-499.2754918796544,66.536033333333336,2697300.1610287875,2.4201376494069578e-05
0,2,0,1,pmfs_13_19,-442.06553604538402,-61.283415629939924,-61.283415629939924,-503.34895167532397,-503.34895167532397,66.456477777777778,2697300.1610225486,3.4501708182747295e-05
0,2,0,2,pmfs_27_36,-103.97075456552189,-20.021806513358211,-9.0127291785426493,-123.9925610788801,-112.98348374406453,61.317366666666658,29962.24732127519,2.0459157579163958
