cell_index,grid_i,grid_j,x,y,occupancy
131,23,4,1.6572699546813965,-6.1008801460266113,Obstacle
132,24,4,1.9572701454162598,-6.1008801460266113,Obstacle
133,25,4,2.2572698593139648,-6.1008801460266113,Obstacle
134,26,4,2.5572700500488281,-6.1008801460266113,Obstacle
135,0,5,-5.2427301406860352,-5.800879955291748,Obstacle
136,1,5,-4.9427304267883301,-5.800879955291748,Free
137,2,5,-4.6427302360534668,-5.800879955291748,Free
138,3,5,-4.3427300453186035,-5.800879955291748,Free
139,4,5,-4.0427303314208984,-5.800879955291748,Free
140,5,5,-3.7427301406860352,-5.800879955291748,Free
141,6,5,-3.442730188369751,-5.800879955291748,Free
142,7,5,-3.1427302360534668,-5.800879955291748,Free
143,8,5,-2.8427300453186035,-5.800879955291748,Free
144,9,5,-2.5427300930023193,-5.800879955291748,Free
145,10,5,-2.2427301406860352,-5.800879955291748,Free
146,11,5,-1.942730188369751,-5.800879955291748,Free
147,12,5,-1.6427299976348877,-5.800879955291748,Free
148,13,5,-1.3427300453186035,-5.800879955291748,Free
149,14,5,-1.0427298545837402,-5.800879955291748,Free
150,15,5,-0.74273014068603516,-5.800879955291748,Obstacle
151,16,5,-0.44272994995117188,-5.800879955291748,Obstacle
152,17,5,-0.1427302360534668,-5.800879955291748,Obstacle
153,18,5,0.15726995468139648,-5.800879955291748,Obstacle
154,19,5,0.45727014541625977,-5.800879955291748,Obstacle
155,20,5,0.75726985931396484,-5.800879955291748,Obstacle
156,21,5,1.0572700500488281,-5.800879955291748,Obstacle
157,22,5,1.3572702407836914,-5.800879955291748,Obstacle
158,23,5,1.6572699546813965,-5.800879955291748,Obstacle
159,24,5,1.9572701454162598,-5.800879955291748,Obstacle
160,25,5,2.2572698593139648,-5.800879955291748,Obstacle
161,26,5,2.5572700500488281,-5.800879955291748,Obstacle
162,0,6,-5.2427301406860352,-5.500880241394043,Obstacle
163,1,6,-4.9427304267883301,-5.500880241394043,Free
164,2,6,-4.6427302360534668,-5.500880241394043,Free
165,3,6,-4.3427300453186035,-5.500880241394043,Free
166,4,6,-4.0427303314208984,-5.500880241394043,Free
167,5,6,-3.7427301406860352,-5.500880241394043,Free
168,6,6,-3.442730188369751,-5.500880241394043,Free
169,7,6,-3.1427302360534668,-5.500880241394043,Free
170,8,6,-2.8427300453186035,-5.500880241394043,Free
171,9,6,-2.5427300930023193,-5.500880241394043,Free
172,10,6,-2.2427301406860352,-5.500880241394043,Free
173,11,6,-1.942730188369751,-5.500880241394043,Free
174,12,6,-1.6427299976348877,-5.500880241394043,Free
175,13,6,-1.3427300453186035,-5.500880241394043,Free
176,14,6,-1.0427298545837402,-5.500880241394043,Free
177,15,6,-0.74273014068603516,-5.500880241394043,Free
178,16,6,-0.44272994995117188,-5.500880241394043,Free
179,17,6,-0.1427302360534668,-5.500880241394043,Obstacle
180,18,6,0.15726995468139648,-5.500880241394043,Obstacle
181,19,6,0.45727014541625977,-5.500880241394043,Obstacle
182,20,6,0.75726985931396484,-5.500880241394043,Obstacle
183,21,6,1.0572700500488281,-5.500880241394043,Obstacle
184,22,6,1.3572702407836914,-5.500880241394043,Obstacle
185,23,6,1.6572699546813965,-5.500880241394043,Obstacle
186,24,6,1.9572701454162598,-5.500880241394043,Obstacle
187,25,6,2.2572698593139648,-5.500880241394043,Obstacle
188,26,6,2.5572700500488281,-5.500880241394043,Obstacle
189,0,7,-5.2427301406860352,-5.2008800506591797,Obstacle
190,1,7,-4.9427304267883301,-5.2008800506591797,Free
191,2,7,-4.6427302360534668,-5.2008800506591797,Free
192,3,7,-4.3427300453186035,-5.2008800506591797,Free
193,4,7,-4.0427303314208984,-5.2008800506591797,Free
194,5,7,-3.7427301406860352,-5.2008800506591797,Free
195,6,7,-3.442730188369751,-5.2008800506591797,Free
196,7,7,-3.1427302360534668,-5.2008800506591797,Free
197,8,7,-2.8427300453186035,-5.2008800506591797,Free
198,9,7,-2.5427300930023193,-5.2008800506591797,Free
199,10,7,-2.2427301406860352,-5.2008800506591797,Free
200,11,7,-1.942730188369751,-5.2008800506591797,Free
201,12,7,-1.6427299976348877,-5.2008800506591797,Free
202,13,7,-1.3427300453186035,-5.2008800506591797,Free
203,14,7,-1.0427298545837402,-5.2008800506591797,Free
204,15,7,-0.74273014068603516,-5.2008800506591797,Free
205,16,7,-0.44272994995117188,-5.2008800506591797,Free
206,17,7,-0.1427302360534668,-5.2008800506591797,Obstacle
207,18,7,0.15726995468139648,-5.2008800506591797,Obstacle
208,19,7,0.45727014541625977,-5.2008800506591797,Obstacle
209,20,7,0.75726985931396484,-5.2008800506591797,Obstacle
210,21,7,1.0572700500488281,-5.2008800506591797,Obstacle
211,22,7,1.3572702407836914,-5.2008800506591797,Obstacle
212,23,7,1.6572699546813965,-5.2008800506591797,Obstacle
213,24,7,1.9572701454162598,-5.2008800506591797,Obstacle
214,25,7,2.2572698593139648,-5.2008800506591797,Obstacle
