cell_index,u,v
504,-0.048106998205184937,0.0021204999648034573
505,-0.0458730012178421,0.001972900005057454
506,-0.045200999826192856,0.0025947000831365585
507,-0.04199700057506561,0.003192800097167492
508,-0.03487800061702728,0.004685299936681986
509,-0.026420999318361282,0.006768700201064348
510,-0.014999999664723873,0.007710199803113937
511,-0.0008340100175701082,0.0022247000597417355
512,0.008529899641871452,-0.0072397999465465546
516,-1.1142000403197017e-05,-0.00033239999902434647
517,0.0003936199937015772,0.0004071099974680692
518,0.0008997300174087286,0.0012687999987974763
519,0.0014681000029668212,0.002486499957740307
520,0.001982599962502718,0.004395099822431803
521,0.00231259991414845,0.0074419002048671246
522,0.002347199944779277,0.01215600036084652
523,0.0011190000222995877,0.02008100040256977
524,-0.006968399975448847,0.033316001296043396
525,-0.02485799975693226,0.04599099978804588
526,-0.039250001311302185,0.049956001341342926
543,-0.0003476999991107732,-0.0007101200171746314
544,0.00017344999650958925,8.916200022213161e-05
545,0.0009922099998220801,0.0009106799843721092
546,0.002193399937823415,0.002098799915984273
547,0.003836000105366111,0.004067800007760525
548,0.005939300172030926,0.00728789996355772
549,0.0086131002753973,0.01233499962836504
550,0.011377000249922276,0.02195899933576584
551,0.008013599552214146,0.038933999836444855
552,-0.00618610018864274,0.054464999586343765
553,-0.004747800063341856,0.036341000348329544
570,-0.0013989999424666166,-0.0009044299949891865
571,-0.0008158599957823753,-0.0003182700020261109
572,0.00026266000350005925,0.0002359000063734129
573,0.002023800043389201,0.0010824999772012234
574,0.004766399972140789,0.00265039992518723
575,0.008840500377118587,0.005482200067490339
576,0.014705000445246696,0.009975899942219257
577,0.023124000057578087,0.019664999097585678
578,0.024379000067710876,0.0417260006070137
579,0.01256799977272749,0.05948900058865547
580,0.0053298999555408955,0.03797300159931183
583,-0.0025539000052958727,0.0018191999988630414
584,-0.002662800019606948,0.002559300046414137
585,-0.0019404999911785126,0.002603699918836355
586,-0.0016742999432608485,0.0031385000329464674
587,-0.0017151000211015344,0.0019524999661371112
588,-0.0016587000573053956,0.0010091000003740191
589,-0.0012591000413522124,-9.396200039191172e-05
590,-0.00095572997815907,-0.0013989999424666166
606,0.021459000185132027,0.07307299971580505
607,0.003959000110626221,0.051447998732328415
610,-0.002107999986037612,0.0032023999374359846
611,-0.001576000009663403,0.003443199908360839
612,-0.001838900032453239,0.0034209000878036022
613,-0.001853700028732419,0.0028093999717384577
614,-0.0017639000434428453,0.0018624999793246388
615,-0.0017787000397220254,0.0010867000091820955
616,-0.001749000046402216,7.472700235666707e-05
617,-0.0013000000035390258,-0.001551999943330884
633,-0.002082299906760454,0.10040999948978424
634,-0.006712799891829491,0.06133599951863289
637,-0.0018178999889642,0.0037173000164330006
638,-0.0015293000033125281,0.003079199930652976
639,-0.001594900037162006,0.002423600060865283
640,-0.0016304999589920044,0.001891799969598651
641,-0.0016296999529004097,0.0015078999567776918
642,-0.0016545000253245234,0.0010237999958917499
643,-0.0016877000452950597,7.352599641308188e-05
644,-0.001397100044414401,-0.0017393999733030796
654,-0.011497999541461468,-0.008266099728643894
655,-0.04687799885869026,-0.004151700064539909
656,-0.07102800160646439,-0.007158900145441294
657,-0.07535800337791443,-0.0026289999950677156
660,-0.055743999779224396,0.08249399811029434
661,-0.02048099972307682,0.048677001148462296
664,-0.0020612000953406096,0.0028595998883247375
665,-0.0018062000162899494,0.0019093999871984124
666,-0.0017510999459773302,0.001396200037561357
667,-0.0016346999909728765,0.0011480000102892518
668,-0.0014892000472173095,0.0010510999709367752
669,-0.0013425999786704779,0.0008169100037775934
670,-0.0012777999509125948,9.907100320560858e-05
671,-0.0012318999506533146,-0.0017723999917507172
681,-0.17447000741958618,0.04284000024199486
682,-0.1981000006198883,0.019005000591278076
683,-0.20965999364852905,0.0016465999651700258
684,-0.21359999477863312,-0.006398399826139212
685,-0.2048500031232834,-0.011477000080049038
686,-0.15417000651359558,-0.0062731001526117325
687,-0.06123099848628044,0.011070000007748604
688,-0.014353999868035316,0.024970000609755516
689,-0.00023766000231262296,0.003006200073286891
690,-0.0027656001038849354,0.001992099918425083
691,-0.0027065000031143427,0.00126369995996356
692,-0.0021724000107496977,0.0007737799896858633
693,-0.001908399979583919,0.0004991100286133587
694,-0.0017108999891206622,0.0003369899932295084
695,-0.0014142999425530434,0.0003877099952660501
696,-0.00104310002643615,0.0003033399989362806
697,-0.0008362900116480887,-9.244099783245474e-05
698,-0.0006216699839569628,-0.0013708999613299966
703,-0.004076700191944838,-0.0017000000225380063
704,-0.005746299866586924,0.00839729979634285
705,-0.07649599760770798,0.0451430007815361
706,-0.15740999579429626,0.1046300008893013
707,-0.1628500074148178,0.08815699815750122
708,-0.13666999340057373,0.04552999883890152
709,-0.1028899997472763,0.014884999953210354
710,-0.07706599682569504,0.0007999900262802839
711,-0.061163000762462616,-0.0036933000665158033
714,-0.06480400264263153,-0.07937200367450714
715,0.002629100112244487,-0.0047357999719679356
