mode,candidate_id,source_sample,replica,source_x,source_y,score
persistent,quadtree_6_1_3_1,4,3,-4.86670064926147460938,-7.54671049118041992188,0.109686342607073502655
persistent,quadtree_6_1_3_1,4,4,-4.86670064926147460938,-7.54671049118041992188,0.124808335015494095601
persistent,quadtree_6_1_3_1,4,5,-4.86670064926147460938,-7.54671049118041992188,0.112820085140587030007
persistent,quadtree_6_1_3_1,4,6,-4.86670064926147460938,-7.54671049118041992188,0.118961085044858821906
persistent,quadtree_6_1_3_1,4,7,-4.86670064926147460938,-7.54671049118041992188,0.11400406122021047712
persistent,quadtree_6_1_3_1,5,0,-4.92887163162231445312,-7.5716533660888671875,0.101625309770933242627
persistent,quadtree_6_1_3_1,5,1,-4.92887163162231445312,-7.5716533660888671875,0.11414877900818217844
persistent,quadtree_6_1_3_1,5,2,-4.92887163162231445312,-7.5716533660888671875,0.100031756843844828269
persistent,quadtree_6_1_3_1,5,3,-4.92887163162231445312,-7.5716533660888671875,0.108598972047683870405
persistent,quadtree_6_1_3_1,5,4,-4.92887163162231445312,-7.5716533660888671875,0.128004755816359765458
persistent,quadtree_6_1_3_1,5,5,-4.92887163162231445312,-7.5716533660888671875,0.111730176710317605763
persistent,quadtree_6_1_3_1,5,6,-4.92887163162231445312,-7.5716533660888671875,0.120476420327007378207
persistent,quadtree_6_1_3_1,5,7,-4.92887163162231445312,-7.5716533660888671875,0.117845101504014588733
persistent,quadtree_6_1_3_1,6,0,-5.22111368179321289062,-7.5148601531982421875,0.101780360787701489835
persistent,quadtree_6_1_3_1,6,1,-5.22111368179321289062,-7.5148601531982421875,0.117327036855436044144
persistent,quadtree_6_1_3_1,6,2,-5.22111368179321289062,-7.5148601531982421875,0.09652203358164120658
persistent,quadtree_6_1_3_1,6,3,-5.22111368179321289062,-7.5148601531982421875,0.109096293170809377872
persistent,quadtree_6_1_3_1,6,4,-5.22111368179321289062,-7.5148601531982421875,0.121145367485100476089
persistent,quadtree_6_1_3_1,6,5,-5.22111368179321289062,-7.5148601531982421875,0.109217257320675623096
persistent,quadtree_6_1_3_1,6,6,-5.22111368179321289062,-7.5148601531982421875,0.11690101322146984629
persistent,quadtree_6_1_3_1,6,7,-5.22111368179321289062,-7.5148601531982421875,0.116630621177379201084
persistent,quadtree_6_1_3_1,7,0,-5.20331096649169921875,-7.29247999191284179688,0.10186076571577337913
persistent,quadtree_6_1_3_1,7,1,-5.20331096649169921875,-7.29247999191284179688,0.113404678260108757109
persistent,quadtree_6_1_3_1,7,2,-5.20331096649169921875,-7.29247999191284179688,0.0948674485532774938661
persistent,quadtree_6_1_3_1,7,3,-5.20331096649169921875,-7.29247999191284179688,0.108445754783512684149
persistent,quadtree_6_1_3_1,7,4,-5.20331096649169921875,-7.29247999191284179688,0.125250993149922059129
