"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-2.5909e-05,1.242e-05,1.2838e-07,8.9502,4.3501,0.1302
-3.2176e-05,1.0294e-05,3.2596e-07,9.05,4.55,0.039882
-3.538e-05,8.9202e-06,-6.0184e-09,9.0502,4.4501,0.13028
-3.0403e-05,6.2533e-06,-4.4158e-08,9.0505,4.3503,0.23166
-4.2269e-05,2.68e-06,-1.2274e-08,9.15,4.65,0.039892
-4.6058e-05,1.0887e-06,-1.6136e-07,9.1501,4.5502,0.13035
-3.9294e-05,-3.5684e-07,-1.2879e-07,9.1503,4.4506,0.23192
-3.1855e-05,-1.021e-06,-1.1835e-07,9.1507,4.351,0.33425
-5.101e-05,-1.0763e-05,5.7812e-08,9.25,4.7501,0.0399
-5.5925e-05,-1.2428e-05,-2.269e-07,9.2501,4.6503,0.13041
-4.7803e-05,-1.1171e-05,-2.258e-07,9.25,4.551,0.23216
-3.8974e-05,-9.72e-06,-1.8389e-07,9.2498,4.4518,0.33486
-3.1032e-05,-8.6435e-06,-7.0971e-09,9.25,4.3524,0.43816
-5.5942e-05,-3.0114e-05,-5.5784e-07,9.35,4.8501,0.039919
-6.2309e-05,-3.2535e-05,-1.783e-07,9.35,4.7504,0.13049
-5.3779e-05,-2.7161e-05,-2.5022e-07,9.3497,4.6512,0.23234
-4.4214e-05,-2.2005e-05,-1.896e-07,9.3489,4.5527,0.33534
-3.5808e-05,-1.8436e-05,-2.0645e-08,9.3479,4.4543,0.43916
-2.8338e-05,-1.5957e-05,1.9849e-07,9.3481,4.3547,0.54261
-5.4462e-05,-5.4028e-05,-2.0632e-06,9.45,4.9501,0.039985
-6.2421e-05,-5.8378e-05,-2.6739e-07,9.45,4.8504,0.13065
-5.4815e-05,-4.8479e-05,-2.9523e-07,9.4497,4.7513,0.23253
-4.5642e-05,-3.8499e-05,-1.5609e-07,9.4487,4.6532,0.33554
-3.762e-05,-3.0951e-05,6.9066e-08,9.4467,4.5557,0.43962
-3.07e-05,-2.583e-05,2.5301e-07,9.4448,4.4575,0.54341
-2.4562e-05,-2.2044e-05,2.0542e-07,9.4447,4.3574,0.64604
-4.5763e-05,-7.9675e-05,-1.3434e-06,9.55,5.0501,0.040203
-5.4607e-05,-8.7476e-05,1.3584e-08,9.55,4.9504,0.13111
-4.8835e-05,-7.3216e-05,-2.2875e-07,9.5498,4.8513,0.23288
-4.1257e-05,-5.8151e-05,-2.038e-07,9.5491,4.7531,0.33557
-3.4651e-05,-4.6139e-05,1.0218e-07,9.5472,4.6561,0.43943
-2.9246e-05,-3.7114e-05,2.6162e-07,9.5444,4.5592,0.54343
-2.4626e-05,-3.0771e-05,2.5569e-07,9.5411,4.461,0.64639
-1.9697e-05,-2.5914e-05,2.6129e-08,9.5389,4.361,0.74824
-3.0913e-05,-0.00010205,2.8473e-06,9.65,5.15,0.040837
-3.8701e-05,-0.00011263,9.9762e-07,9.65,5.0503,0.13227
-3.5286e-05,-9.5034e-05,1.4247e-07,9.65,4.9511,0.23364
-3.0118e-05,-7.5687e-05,-1.3775e-07,9.6497,4.8527,0.33566
-2.5565e-05,-5.98e-05,8.5117e-09,9.6487,4.7555,0.43881
-2.2107e-05,-4.7335e-05,2.1897e-07,9.6469,4.6591,0.54266
-1.9662e-05,-3.7881e-05,2.5295e-07,9.6438,4.5622,0.64589
-1.7761e-05,-3.0995e-05,9.5609e-08,9.6384,4.4646,0.74815
-1.2068e-05,-2.4245e-05,-3.1601e-07,9.6385,4.3561,0.8494
-1.2904e-05,-0.00010288,3.0277e-06,9.75,5.25,0.043995
-1.5989e-05,-0.00010614,6.5737e-07,9.75,5.1502,0.13481
-1.464e-05,-8.8367e-05,4.1638e-07,9.75,5.0508,0.23484
-1.2437e-05,-7.0053e-05,-3.8938e-09,9.75,4.9521,0.33587
-1.0396e-05,-5.4833e-05,-7.32e-08,9.7498,4.8543,0.43809
-8.8357e-06,-4.2841e-05,6.3644e-08,9.7494,4.7577,0.54143
-7.7676e-06,-3.3125e-05,1.507e-07,9.7486,4.6612,0.64472
-7.2494e-06,-2.5249e-05,7.1825e-08,9.7471,4.5644,0.74728
-7.339e-06,-1.7947e-05,-1.9192e-07,9.7438,4.4672,0.84897
